year,tau,method,fit_scope,domain,metric,value,n_test,n_quarters
2023,24h,raw,pooled,ALL,log_loss,0.5067642286938617,5079.0,4.0
2023,24h,raw,pooled,Entertainment,brier,0.08815964912280701,57.0,4.0
2023,24h,raw,pooled,Entertainment,ece,0.18042553191489363,47.0,2.0
2023,24h,raw,pooled,Entertainment,log_loss,0.30718414137360567,57.0,4.0
2023,24h,raw,pooled,Finance,brier,0.14369023314429738,1587.0,4.0
2023,24h,raw,pooled,Finance,ece,0.05710144927536226,1587.0,4.0
2023,24h,raw,pooled,Finance,log_loss,0.4554555374446578,1587.0,4.0
2023,24h,raw,pooled,Politics,brier,0.16023636363636362,11.0,3.0
2023,24h,raw,pooled,Politics,log_loss,0.4653485556128915,11.0,3.0
2023,24h,raw,pooled,Weather,brier,0.17795397196261678,3424.0,4.0
2023,24h,raw,pooled,Weather,ece,0.04107476635514015,3424.0,4.0
2023,24h,raw,pooled,Weather,log_loss,0.5340009490191048,3424.0,4.0
2023,24h,venn_abers,per_domain,ALL,brier,0.1671512926030419,5011.0,4.0
2023,24h,venn_abers,per_domain,ALL,ece,0.03702120987124866,5011.0,4.0
2023,24h,venn_abers,per_domain,ALL,log_loss,0.5100847617245123,5011.0,4.0
2023,24h,venn_abers,per_domain,Finance,brier,0.14369167805812352,1587.0,4.0
2023,24h,venn_abers,per_domain,Finance,ece,0.04871449158974488,1587.0,4.0
2023,24h,venn_abers,per_domain,Finance,log_loss,0.4568686967246944,1587.0,4.0
2023,24h,venn_abers,per_domain,Weather,brier,0.17802465950806104,3424.0,4.0
2023,24h,venn_abers,per_domain,Weather,ece,0.033763904673375936,3424.0,4.0
2023,24h,venn_abers,per_domain,Weather,log_loss,0.5347500348421266,3424.0,4.0
2023,24h,venn_abers,pooled,ALL,brier,0.16650691399260675,5079.0,4.0
2023,24h,venn_abers,pooled,ALL,ece,0.029691490793772406,5079.0,4.0
2023,24h,venn_abers,pooled,ALL,log_loss,0.5079765570224765,5079.0,4.0
2023,24h,venn_abers,pooled,Entertainment,brier,0.09098246613045424,57.0,4.0
2023,24h,venn_abers,pooled,Entertainment,ece,0.17041644792341126,47.0,2.0
2023,24h,venn_abers,pooled,Entertainment,log_loss,0.3144567000761988,57.0,4.0
2023,24h,venn_abers,pooled,Finance,brier,0.14412869994779845,1587.0,4.0
2023,24h,venn_abers,pooled,Finance,ece,0.05534907687332627,1587.0,4.0
2023,24h,venn_abers,pooled,Finance,log_loss,0.45762271289697387,1587.0,4.0
2023,24h,venn_abers,pooled,Politics,brier,0.15534973980082303,11.0,3.0
2023,24h,venn_abers,pooled,Politics,log_loss,0.45281999754878655,11.0,3.0
2023,24h,venn_abers,pooled,Weather,brier,0.1781721733773506,3424.0,4.0
2023,24h,venn_abers,pooled,Weather,ece,0.031609972392279466,3424.0,4.0
2023,24h,venn_abers,pooled,Weather,log_loss,0.5347139707570913,3424.0,4.0
2024,1w,binning10,per_domain,ALL,brier,0.1311572343018743,305.0,1.0
2024,1w,binning10,per_domain,ALL,ece,0.0447112184019632,305.0,1.0
2024,1w,binning10,per_domain,ALL,log_loss,0.4090312402584055,305.0,1.0
2024,1w,binning10,per_domain,Entertainment,brier,0.1269785536396668,155.0,1.0
2024,1w,binning10,per_domain,Entertainment,ece,0.0825620774347429,155.0,1.0
2024,1w,binning10,per_domain,Entertainment,log_loss,0.393309503917282,155.0,1.0
2024,1w,binning10,per_domain,Finance,brier,0.1403920325423758,110.0,1.0
2024,1w,binning10,per_domain,Finance,ece,0.0566296939571137,110.0,1.0
2024,1w,binning10,per_domain,Finance,log_loss,0.4372329072103062,110.0,1.0
2024,1w,binning10,per_domain,Weather,brier,0.121953926706549,40.0,1.0
2024,1w,binning10,per_domain,Weather,ece,0.1106701631701631,40.0,1.0
2024,1w,binning10,per_domain,Weather,log_loss,0.3923983844625316,40.0,1.0
2024,1w,binning10,pooled,ALL,brier,0.1272117534863767,403.0,1.0
2024,1w,binning10,pooled,ALL,ece,0.0505967147429442,403.0,1.0
2024,1w,binning10,pooled,ALL,log_loss,0.3985610584336584,403.0,1.0
2024,1w,binning10,pooled,Crypto,brier,0.1481718452096889,16.0,1.0
2024,1w,binning10,pooled,Crypto,log_loss,0.4848223802256822,16.0,1.0
2024,1w,binning10,pooled,Entertainment,brier,0.1301811466862386,155.0,1.0
2024,1w,binning10,pooled,Entertainment,ece,0.10620562438394798,155.0,1.0
2024,1w,binning10,pooled,Entertainment,log_loss,0.4017814096993016,155.0,1.0
2024,1w,binning10,pooled,Finance,brier,0.1411910690369453,110.0,1.0
2024,1w,binning10,pooled,Finance,ece,0.0629615873709418,110.0,1.0
2024,1w,binning10,pooled,Finance,log_loss,0.4360604970870709,110.0,1.0
2024,1w,binning10,pooled,Politics,brier,0.1017941871862785,42.0,1.0
2024,1w,binning10,pooled,Politics,ece,0.1428692515499902,42.0,1.0
2024,1w,binning10,pooled,Politics,log_loss,0.3325345804545361,42.0,1.0
2024,1w,binning10,pooled,Sports,brier,0.1016229919947452,40.0,1.0
2024,1w,binning10,pooled,Sports,ece,0.0859113047351876,40.0,1.0
2024,1w,binning10,pooled,Sports,log_loss,0.3308084927426404,40.0,1.0
2024,1w,binning10,pooled,Weather,brier,0.1211554064902581,40.0,1.0
2024,1w,binning10,pooled,Weather,ece,0.0910454186727196,40.0,1.0
2024,1w,binning10,pooled,Weather,log_loss,0.3855345798346927,40.0,1.0
2024,1w,conformal_marginal,pooled,ALL,avg_set_size,1.2307692307692308,403.0,1.0
2024,1w,conformal_marginal,pooled,ALL,coverage,0.9205955334987591,403.0,1.0
2024,1w,conformal_marginal,pooled,Crypto,avg_set_size,1.3125,16.0,1.0
2024,1w,conformal_marginal,pooled,Crypto,coverage,0.9375,16.0,1.0
2024,1w,conformal_marginal,pooled,Entertainment,avg_set_size,1.2838709677419355,155.0,1.0
2024,1w,conformal_marginal,pooled,Entertainment,coverage,0.9354838709677419,155.0,1.0
2024,1w,conformal_marginal,pooled,Finance,avg_set_size,1.2181818181818185,110.0,1.0
2024,1w,conformal_marginal,pooled,Finance,coverage,0.8909090909090909,110.0,1.0
2024,1w,conformal_marginal,pooled,Politics,avg_set_size,1.238095238095238,42.0,1.0
2024,1w,conformal_marginal,pooled,Politics,coverage,0.9761904761904762,42.0,1.0
2024,1w,conformal_marginal,pooled,Sports,avg_set_size,1.1,40.0,1.0
2024,1w,conformal_marginal,pooled,Sports,coverage,0.9,40.0,1.0
2024,1w,conformal_marginal,pooled,Weather,avg_set_size,1.15,40.0,1.0
2024,1w,conformal_marginal,pooled,Weather,coverage,0.9,40.0,1.0
2024,1w,conformal_mondrian,per_domain,ALL,avg_set_size,1.250620347394541,403.0,1.0
2024,1w,conformal_mondrian,per_domain,ALL,coverage,0.913151364764268,403.0,1.0
2024,1w,conformal_mondrian,per_domain,Crypto,avg_set_size,1.9375,16.0,1.0
2024,1w,conformal_mondrian,per_domain,Crypto,coverage,1.0,16.0,1.0
2024,1w,conformal_mondrian,per_domain,Entertainment,avg_set_size,1.232258064516129,155.0,1.0
2024,1w,conformal_mondrian,per_domain,Entertainment,coverage,0.9161290322580643,155.0,1.0
2024,1w,conformal_mondrian,per_domain,Finance,avg_set_size,1.2272727272727273,110.0,1.0
2024,1w,conformal_mondrian,per_domain,Finance,coverage,0.9,110.0,1.0
2024,1w,conformal_mondrian,per_domain,Politics,avg_set_size,1.3095238095238095,42.0,1.0
2024,1w,conformal_mondrian,per_domain,Politics,coverage,0.9761904761904762,42.0,1.0
2024,1w,conformal_mondrian,per_domain,Sports,avg_set_size,1.025,40.0,1.0
2024,1w,conformal_mondrian,per_domain,Sports,coverage,0.85,40.0,1.0
2024,1w,conformal_mondrian,per_domain,Weather,avg_set_size,1.275,40.0,1.0
2024,1w,conformal_mondrian,per_domain,Weather,coverage,0.9,40.0,1.0
2024,1w,platt,per_domain,ALL,brier,0.1234090300961783,305.0,1.0
2024,1w,platt,per_domain,ALL,ece,0.0413245382859673,305.0,1.0
2024,1w,platt,per_domain,ALL,log_loss,0.3864372493688345,305.0,1.0
2024,1w,platt,per_domain,Entertainment,brier,0.1156585465130674,155.0,1.0
2024,1w,platt,per_domain,Entertainment,ece,0.0800921354456768,155.0,1.0
2024,1w,platt,per_domain,Entertainment,log_loss,0.3577761005796979,155.0,1.0
2024,1w,platt,per_domain,Finance,brier,0.1365863438229148,110.0,1.0
2024,1w,platt,per_domain,Finance,ece,0.0722794024251927,110.0,1.0
