domain,tau,method,bin,lo,hi,n,mean_p,mean_y
Sports,24h,platt,3,0.2563865201182612,0.323775307965975,880,0.28377598837743684,0.2727272727272727
Sports,24h,platt,4,0.323775307965975,0.401551203325008,900,0.35942561857469785,0.3488888888888889
Sports,24h,platt,5,0.401551203325008,0.46047013755294575,816,0.42824702418406285,0.45465686274509803
Sports,24h,platt,6,0.46047013755294575,0.519934762739052,861,0.4857828432154296,0.4901277584204414
Sports,24h,platt,7,0.519934762739052,0.6102405479171326,867,0.5577242670889417,0.5467128027681661
Sports,24h,platt,8,0.6102405479171326,0.7358356730148179,876,0.6671582417430316,0.6723744292237442
Sports,24h,platt,9,0.7358356730148179,0.9524166939002443,859,0.8341852097914412,0.830034924330617
Sports,24h,venn_abers,0,0.05100182149362477,0.1101871101871102,844,0.07433012930006,0.061611374407582936
Sports,24h,venn_abers,1,0.1101871101871102,0.1956124314442413,791,0.14785965515146082,0.16308470290771176
Sports,24h,venn_abers,2,0.1956124314442413,0.26625766871165646,797,0.21209772923039186,0.23588456712672523
Sports,24h,venn_abers,3,0.26625766871165646,0.3404255319148936,957,0.2861802556156508,0.2779519331243469
Sports,24h,venn_abers,4,0.3404255319148936,0.40091868498975025,700,0.3613822688213203,0.35
Sports,24h,venn_abers,5,0.40091868498975025,0.4591439688715953,838,0.4200614081949941,0.43675417661097854
Sports,24h,venn_abers,6,0.4591439688715953,0.5442176870748299,956,0.47964259896098543,0.48640167364016734
Sports,24h,venn_abers,7,0.5442176870748299,0.6090116279069768,927,0.5792487987570188,0.5555555555555556
Sports,24h,venn_abers,8,0.6090116279069768,0.7224080267558528,747,0.6666361941741753,0.6666666666666666
Sports,24h,venn_abers,9,0.7224080267558528,0.9589041095890412,966,0.8111968326639544,0.8074534161490683
Sports,1w,raw,0,0.05,0.08,144,0.058541666666666665,0.006944444444444444
Sports,1w,raw,1,0.08,0.15,188,0.10638297872340426,0.05319148936170213
Sports,1w,raw,2,0.15,0.23,171,0.18339181286549708,0.19298245614035087
Sports,1w,raw,3,0.23,0.32,171,0.27087719298245616,0.2046783625730994
Sports,1w,raw,4,0.32,0.43,173,0.36872832369942193,0.3179190751445087
Sports,1w,raw,5,0.43,0.5,154,0.4631168831168831,0.4090909090909091
Sports,1w,raw,6,0.5,0.57,174,0.5286206896551724,0.4885057471264368
Sports,1w,raw,7,0.57,0.68,166,0.6151807228915663,0.6626506024096386
Sports,1w,raw,8,0.68,0.82,179,0.7454748603351955,0.776536312849162
Sports,1w,raw,9,0.82,0.95,177,0.8899435028248587,0.8983050847457628
Sports,1w,platt,0,0.03723058109795741,0.06256438062328329,148,0.04564271494266076,0.006756756756756757
Sports,1w,platt,1,0.06256438062328329,0.12344537193867786,190,0.08770945883698399,0.05789473684210526
Sports,1w,platt,2,0.12344537193867786,0.19703887159577196,168,0.15683018075350544,0.19047619047619047
Sports,1w,platt,3,0.19703887159577196,0.28387615526101445,170,0.23778102659729358,0.2
Sports,1w,platt,4,0.28387615526101445,0.3947507867676201,170,0.3335974899297928,0.3352941176470588
Sports,1w,platt,5,0.3947507867676201,0.4675454540337682,150,0.42932091652767135,0.38
Sports,1w,platt,6,0.4675454540337682,0.5433776282435376,192,0.50130018814473,0.5260416666666666
Sports,1w,platt,7,0.5433776282435376,0.6705012831430474,169,0.6022176161312991,0.6627218934911243
Sports,1w,platt,8,0.6705012831430474,0.8135190615558888,170,0.7430098127292767,0.7705882352941177
Sports,1w,platt,9,0.8135190615558888,0.9643094053277288,170,0.8925158794360302,0.9058823529411765
Sports,1w,venn_abers,0,0.011363636363636362,0.0670391061452514,153,0.0353291615446182,0.013071895424836602
Sports,1w,venn_abers,1,0.0670391061452514,0.13131313131313133,180,0.08753248908009026,0.044444444444444446
