family,comparison,metric,tau,domain,fit_scope,alpha,point_estimate,ci_lo,ci_hi,boot_median,significant,n_markets,n_quarters
H1,platt - raw,dlog_loss,1w,Politics,per_domain,NA,0.008688487370188838,-0.0041048875742219285,0.021459155002592604,0.008905107617085318,False,414,2
H1,venn_abers - raw,dlog_loss,1w,Politics,per_domain,NA,0.005782231933279778,-0.011033063312502927,0.022278336228153863,0.0059994444959960095,False,414,2
H1,binning10 - raw,dlog_loss,1w,Sports,per_domain,NA,0.02176369781946949,0.003630533951522277,0.04728147054069861,0.020063998218699294,True,1501,2
H1,isotonic - raw,dlog_loss,1w,Sports,per_domain,NA,0.060527761457996834,0.019515569180775454,0.10622202900565421,0.05992652999285071,True,1501,2
H1,platt - raw,dlog_loss,1w,Sports,per_domain,NA,-0.0010061784629544113,-0.008308735177883235,0.006589904466282064,-0.0009952152825944698,False,1501,2
H1,venn_abers - raw,dlog_loss,1w,Sports,per_domain,NA,0.004776440753660519,-0.0015272989455570821,0.01101271515973364,0.0047870976617437775,False,1501,2
H1,binning10 - raw,dlog_loss,1w,Weather,per_domain,NA,0.08672653584199436,-0.02878284617480635,0.25893808959306636,0.0781457947237949,False,135,4
H1,isotonic - raw,dlog_loss,1w,Weather,per_domain,NA,0.07216494511034147,-0.03164267158545738,0.2485016959882995,0.06735298095381337,False,135,4
H1,platt - raw,dlog_loss,1w,Weather,per_domain,NA,0.006944666919005302,-0.015273077535421169,0.030666364238131752,0.0077760821535640835,False,135,4
H1,venn_abers - raw,dlog_loss,1w,Weather,per_domain,NA,0.01089434654939206,-0.021749419929659987,0.03893201118294351,0.010954537175881204,False,135,4
H1,binning10 - raw,dbrier,1w,ALL,pooled,NA,0.0019476308142953277,0.0007531391623123512,0.0031394702012066717,0.0019550828478802082,True,4414,4
H1,isotonic - raw,dbrier,1w,ALL,pooled,NA,0.0019406812021651844,0.000930250304121842,0.003076314739284747,0.0019505733079605598,True,4414,4
H1,platt - raw,dbrier,1w,ALL,pooled,NA,0.00036985878654053597,-0.00021276369863220128,0.0010135454196943553,0.0003927163008069235,False,4414,4
H1,venn_abers - raw,dbrier,1w,ALL,pooled,NA,0.0018521280892147577,0.0007753350330237486,0.0028377985064294447,0.0017936358790042579,True,4414,4
H1,binning10 - raw,dbrier,1w,Crypto,pooled,NA,0.009152645238386757,0.0014291144385758516,0.01649624937090373,0.009157603477629558,True,89,4
H1,isotonic - raw,dbrier,1w,Crypto,pooled,NA,0.0028087501128551966,-0.004122890653376101,0.010174962547090372,0.002957812373066593,False,89,4
H1,platt - raw,dbrier,1w,Crypto,pooled,NA,0.008818129116668903,0.004451915585636501,0.013550765734814788,0.008882534101444491,True,89,4
H1,venn_abers - raw,dbrier,1w,Crypto,pooled,NA,0.003406711879824767,-0.003197917751472332,0.010153767784811685,0.003414580537786047,False,89,4
H1,binning10 - raw,dbrier,1w,Entertainment,pooled,NA,0.0018962352782069163,-0.00045146638187030754,0.004109129338699629,0.0017935045904655176,False,1134,4
H1,isotonic - raw,dbrier,1w,Entertainment,pooled,NA,0.0015177996588097078,-0.0006015683794211772,0.003602582662153593,0.0015223266033283379,False,1134,4
H1,platt - raw,dbrier,1w,Entertainment,pooled,NA,0.000574140196830557,-0.0004952786381269398,0.0017968107059652553,0.0005711777542020875,False,1134,4
H1,venn_abers - raw,dbrier,1w,Entertainment,pooled,NA,0.0015846426856941762,-0.00046531666880111514,0.0036380387133879413,0.0016601386927798574,False,1134,4
H1,binning10 - raw,dbrier,1w,Finance,pooled,NA,0.00017642783621938773,-0.002703390001817473,0.002937218267690624,0.00010180101850949488,False,660,4
H1,isotonic - raw,dbrier,1w,Finance,pooled,NA,0.0007017392611646922,-0.001989854158560386,0.0033819132815092823,0.0007348077600898939,False,660,4
H1,platt - raw,dbrier,1w,Finance,pooled,NA,-0.0014735998667496117,-0.002894434736079245,-7.82080857055708e-05,-0.0014329468998711152,True,660,4
H1,venn_abers - raw,dbrier,1w,Finance,pooled,NA,0.0007581367584356629,-0.001640960952104161,0.0034259801561908536,0.0008179617736983448,False,660,4
H1,binning10 - raw,dbrier,1w,Politics,pooled,NA,0.0035247018767690912,0.0004650608045052147,0.006883521130371228,0.003657557701209014,True,699,4
H1,isotonic - raw,dbrier,1w,Politics,pooled,NA,0.0027627401252082492,-0.0003059804325215328,0.005739134286749417,0.00271808438307142,False,699,4
H1,platt - raw,dbrier,1w,Politics,pooled,NA,0.002599425446210807,0.0010306920700551185,0.004059083116487967,0.002566200967086512,True,699,4
H1,venn_abers - raw,dbrier,1w,Politics,pooled,NA,0.0015494732067125607,-0.0012536553097534197,0.004225136483143357,0.001594402466514708,False,699,4
H1,binning10 - raw,dbrier,1w,Sports,pooled,NA,0.001459783701392545,-0.000373322629859798,0.003223806913017635,0.0014396426853355358,False,1697,4
H1,isotonic - raw,dbrier,1w,Sports,pooled,NA,0.002145582465585337,0.0005496429761158409,0.0037839065180471643,0.0021649741269595935,True,1697,4
H1,platt - raw,dbrier,1w,Sports,pooled,NA,-0.0006275452310708753,-0.0017525040092044876,0.0004920843906769538,-0.0005979447594404416,False,1697,4
H1,venn_abers - raw,dbrier,1w,Sports,pooled,NA,0.0023235046924226475,0.0004862138614383853,0.004124794651795597,0.0023286125180066643,True,1697,4
H1,binning10 - raw,dbrier,1w,Weather,pooled,NA,0.004255290796792386,-0.0017763218799105335,0.009770055439607147,0.004337203108586002,False,135,4
H1,isotonic - raw,dbrier,1w,Weather,pooled,NA,0.004145529994334984,-0.0019424118289306787,0.011097049376073729,0.004314802488612015,False,135,4
H1,platt - raw,dbrier,1w,Weather,pooled,NA,0.0030902962331941196,7.198796621246265e-05,0.006270793747926161,0.0030481319300131923,True,135,4
H1,venn_abers - raw,dbrier,1w,Weather,pooled,NA,0.004064235020825859,-0.0014060703823103242,0.009763768249539782,0.004090569368482707,False,135,4
H1,binning10 - raw,dlog_loss,1w,ALL,pooled,NA,0.005645571250930575,0.002034062251924447,0.008910094690569447,0.005560645067864647,True,4414,4
H1,isotonic - raw,dlog_loss,1w,ALL,pooled,NA,0.022226050177012464,0.008634333343276205,0.03690522200399499,0.021599748989249504,True,4414,4
H1,platt - raw,dlog_loss,1w,ALL,pooled,NA,0.0005960259346666388,-0.0011642938268773045,0.002348117800959623,0.0005609189480324632,False,4414,4
H1,venn_abers - raw,dlog_loss,1w,ALL,pooled,NA,0.005116144807021871,0.002082156015807458,0.008166741382310489,0.0050961459174610375,True,4414,4
H1,binning10 - raw,dlog_loss,1w,Crypto,pooled,NA,0.022835319148396045,0.0039842103380105165,0.044496678964022894,0.022678668418869802,True,89,4
H1,isotonic - raw,dlog_loss,1w,Crypto,pooled,NA,0.007914353977288622,-0.010905183227343403,0.03016852865695333,0.007762672351067243,False,89,4
H1,platt - raw,dlog_loss,1w,Crypto,pooled,NA,0.0182507004915176,0.00775318034414903,0.030204970629356166,0.018104024300141172,True,89,4
H1,venn_abers - raw,dlog_loss,1w,Crypto,pooled,NA,0.009716609925651527,-0.007913407041994324,0.030169803096979666,0.009828973715434746,False,89,4
H1,binning10 - raw,dlog_loss,1w,Entertainment,pooled,NA,0.007584368268227713,0.0008403520783290123,0.01463002617916655,0.007550322833249012,True,1134,4
H1,isotonic - raw,dlog_loss,1w,Entertainment,pooled,NA,0.02131564825485515,-0.00040828266187953587,0.05244316125208888,0.02097468406099394,False,1134,4
H1,platt - raw,dlog_loss,1w,Entertainment,pooled,NA,0.0013941800597603593,-0.002110601029834651,0.004832310676419012,0.0014062472575587619,False,1134,4
H1,venn_abers - raw,dlog_loss,1w,Entertainment,pooled,NA,0.005401451443768725,-0.0006782403791275745,0.011222389994756558,0.005214045114105762,False,1134,4
H1,binning10 - raw,dlog_loss,1w,Finance,pooled,NA,-0.0006954836978611865,-0.008618444209580517,0.008572817410778685,-0.0005009784828820417,False,660,4
H1,isotonic - raw,dlog_loss,1w,Finance,pooled,NA,-0.0003725145301493881,-0.008278684361112,0.007973338638279034,-0.000494215305104026,False,660,4
H1,platt - raw,dlog_loss,1w,Finance,pooled,NA,-0.005431880224380091,-0.009142188390404945,-0.0014696659605243003,-0.005581467034988007,True,660,4
H1,venn_abers - raw,dlog_loss,1w,Finance,pooled,NA,0.0013144518087684462,-0.006214777413594707,0.008245490990854698,0.0009677940651162805,False,660,4
H1,binning10 - raw,dlog_loss,1w,Politics,pooled,NA,0.015969513125840565,0.0050239257438539795,0.026589596683309805,0.01584022375385636,True,699,4
H1,isotonic - raw,dlog_loss,1w,Politics,pooled,NA,0.09758004884608897,0.032213429610697696,0.1787758427350368,0.09330441562757949,True,699,4
H1,platt - raw,dlog_loss,1w,Politics,pooled,NA,0.009750324775468005,0.0047303840275363255,0.015013724278523844,0.009788392260259387,True,699,4
H1,venn_abers - raw,dlog_loss,1w,Politics,pooled,NA,0.010654125064849492,0.00019482241495257435,0.02202867978648133,0.01052458472512861,True,699,4
H1,binning10 - raw,dlog_loss,1w,Sports,pooled,NA,0.0014592382296679434,-0.0030320789219082625,0.006245570273519952,0.0014875182267054228,False,1697,4
H1,isotonic - raw,dlog_loss,1w,Sports,pooled,NA,0.0020045445616925796,-0.0024881166603977563,0.0062862321114748945,0.0020604586013902694,False,1697,4
H1,platt - raw,dlog_loss,1w,Sports,pooled,NA,-0.002901928522412813,-0.005855902044865188,-0.00017874508506652634,-0.00295063580102442,True,1697,4
H1,venn_abers - raw,dlog_loss,1w,Sports,pooled,NA,0.0032145251808567386,-0.0008020395180037012,0.00735904073281639,0.003231214658472029,False,1697,4
H1,binning10 - raw,dlog_loss,1w,Weather,pooled,NA,0.008196568674884512,-0.008309973488787524,0.02394260638156033,0.007724280390895949,False,135,4
H1,isotonic - raw,dlog_loss,1w,Weather,pooled,NA,0.013815971715842132,-0.005342124088656887,0.033367783703059935,0.013926496459528585,False,135,4
H1,platt - raw,dlog_loss,1w,Weather,pooled,NA,0.008293945012433322,-0.0009803134155760595,0.01750880708992609,0.008146126129489728,False,135,4
H1,venn_abers - raw,dlog_loss,1w,Weather,pooled,NA,0.013502356381829332,-0.003102927364721188,0.031317645765885936,0.013640312601126556,False,135,4
H1,binning10 - raw,dbrier,24h,ALL,per_domain,NA,0.002305340159915164,0.0018046796964503663,0.0027851752860409275,0.002295402808861629,True,36580,14
H1,isotonic - raw,dbrier,24h,ALL,per_domain,NA,0.0012672898195042143,0.0008894209085327058,0.0016607551355749246,0.0012642397259906408,True,36580,14
H1,platt - raw,dbrier,24h,ALL,per_domain,NA,0.00038780585129686543,0.00011444562974175079,0.0006524460514231172,0.0003883267905564644,True,36580,14
H1,venn_abers - raw,dbrier,24h,ALL,per_domain,NA,0.0009954773083994204,0.0006366394555714801,0.0014038079226503103,0.001013088539212665,True,36580,14
H1,binning10 - raw,dbrier,24h,Crypto,per_domain,NA,0.004781962080077337,0.0009331489895393135,0.008264849109580833,0.00474244207916344,True,1255,3
H1,isotonic - raw,dbrier,24h,Crypto,per_domain,NA,0.004039899937040982,0.0008104497480461764,0.007472138800528208,0.0041239786726825645,True,1255,3
H1,platt - raw,dbrier,24h,Crypto,per_domain,NA,0.001162743021564496,-0.0018265978713373388,0.004236891581575793,0.0011668393362524205,False,1255,3
H1,venn_abers - raw,dbrier,24h,Crypto,per_domain,NA,0.0025367434722160117,-0.0006343713305606624,0.005349128709823966,0.002502985968387399,False,1255,3
