test_quarter,tau,domain,method,bin,lo,hi,n,mean_p,mean_y
2025Q2,24h,Sports,raw,6,0.52,0.6,178,0.5542696629213483,0.5224719101123596
2025Q2,24h,Sports,raw,7,0.6,0.68,169,0.6344970414201183,0.6804733727810651
2025Q2,24h,Sports,raw,8,0.68,0.79,196,0.725969387755102,0.6938775510204082
2025Q2,24h,Sports,raw,9,0.79,0.95,192,0.8603125,0.8177083333333334
2025Q2,24h,Politics,platt,0,0.044718759551014536,0.114738710056489,41,0.07291438951965876,0.07317073170731707
2025Q2,24h,Politics,platt,1,0.114738710056489,0.22256198131173613,39,0.16820555752402333,0.10256410256410256
2025Q2,24h,Politics,platt,2,0.22256198131173613,0.28046242692686607,41,0.2415681027888641,0.2682926829268293
2025Q2,24h,Politics,platt,3,0.28046242692686607,0.3587911490894533,41,0.3097407762644748,0.3902439024390244
2025Q2,24h,Politics,platt,4,0.3587911490894533,0.46846912482873065,38,0.40270163948815424,0.42105263157894735
2025Q2,24h,Politics,platt,5,0.46846912482873065,0.5597988407026186,41,0.5109363976653243,0.5853658536585366
2025Q2,24h,Politics,platt,6,0.5597988407026186,0.6317571061747494,38,0.5919288656282534,0.5789473684210527
2025Q2,24h,Politics,platt,7,0.6317571061747494,0.7253649687186415,41,0.6694680076229991,0.5365853658536586
2025Q2,24h,Politics,platt,8,0.7253649687186415,0.8348500938257895,46,0.7664639479383228,0.6956521739130435
2025Q2,24h,Politics,platt,9,0.8348500938257895,0.9473444986811692,41,0.9038308142523074,0.8536585365853658
2025Q2,24h,Sports,platt,0,0.044718759551014536,0.1091474217069761,169,0.06732218532371778,0.07100591715976332
2025Q2,24h,Sports,platt,1,0.1091474217069761,0.1938983199227952,178,0.15004098713354655,0.20224719101123595
2025Q2,24h,Sports,platt,2,0.1938983199227952,0.26107937196893194,189,0.2245340389461131,0.24867724867724866
2025Q2,24h,Sports,platt,3,0.26107937196893194,0.3390919722085068,193,0.2958879924250106,0.3005181347150259
2025Q2,24h,Sports,platt,4,0.3390919722085068,0.4183410997987473,184,0.3764647794020344,0.3423913043478261
2025Q2,24h,Sports,platt,5,0.4183410997987473,0.49875841141382843,184,0.450531344138122,0.45652173913043476
2025Q2,24h,Sports,platt,6,0.49875841141382843,0.580278515001827,178,0.5335939528472807,0.5224719101123596
2025Q2,24h,Sports,platt,7,0.580278515001827,0.6628291925451799,169,0.6157902695399118,0.6804733727810651
2025Q2,24h,Sports,platt,8,0.6628291925451799,0.7778455938911419,196,0.7107709560740275,0.6938775510204082
2025Q2,24h,Sports,platt,9,0.7778455938911419,0.9473444986811692,192,0.8522108642138625,0.8177083333333334
2025Q2,24h,Politics,venn_abers,0,0.05660377358490566,0.10891089108910891,37,0.07516114262276061,0.08108108108108109
2025Q2,24h,Politics,venn_abers,1,0.10891089108910891,0.22135416666666663,43,0.157385642456303,0.09302325581395349
2025Q2,24h,Politics,venn_abers,2,0.22135416666666663,0.2633228840125392,38,0.2333703840630129,0.2631578947368421
2025Q2,24h,Politics,venn_abers,3,0.2633228840125392,0.3494363929146538,36,0.3023921204605341,0.3611111111111111
2025Q2,24h,Politics,venn_abers,4,0.3494363929146538,0.46453900709219864,42,0.3914167259427955,0.4523809523809524
2025Q2,24h,Politics,venn_abers,5,0.46453900709219864,0.6037296037296038,45,0.5110151546828345,0.5555555555555556
2025Q2,24h,Politics,venn_abers,7,0.6037296037296038,0.7224080267558528,55,0.6110460512374389,0.5636363636363636
2025Q2,24h,Politics,venn_abers,8,0.7224080267558528,0.8065085277396588,58,0.7315005329829692,0.6379310344827587
2025Q2,24h,Politics,venn_abers,9,0.8065085277396588,0.9497206703910613,53,0.8795920542195476,0.8113207547169812
2025Q2,24h,Sports,venn_abers,0,0.05660377358490566,0.10891089108910891,169,0.07230819643572861,0.07100591715976332
2025Q2,24h,Sports,venn_abers,1,0.10891089108910891,0.18479077925331996,178,0.14634211737613417,0.20224719101123595
2025Q2,24h,Sports,venn_abers,2,0.18479077925331996,0.2620340365259566,189,0.21427870303830565,0.24867724867724866
2025Q2,24h,Sports,venn_abers,3,0.2620340365259566,0.3494363929146538,193,0.3014342495563902,0.3005181347150259
