tau,domain,test_quarter,n_test,cov_static_once,cov_rolling,cov_aci_g0.005,absdev_static_once,absdev_rolling,absdev_aci_g0.005,mad_static_once,mad_rolling,mad_aci_g0.005,n_quarters,n_test_total,static_once_n_cal_frozen,static_once_borrowed_pooled
1w,ALL,2025Q1,1003,0.8743768693918246,0.8813559322033898,0.8823529411764706,0.02562313060817545,0.01864406779661021,0.01764705882352946,0.03426945351684016,0.011930836562842745,0.00941542916625121,4,4414,,
1w,ALL,2025Q2,949,0.8682824025289779,0.8956796628029505,0.9020021074815596,0.031717597471022096,0.004320337197049495,0.0020021074815596007,0.03426945351684016,0.011930836562842745,0.00941542916625121,4,4414,,
1w,ALL,2025Q3,2059,0.8334142787761049,0.9116075764934434,0.9023797960174842,0.06658572122389517,0.01160757649344335,0.0023797960174841704,0.03426945351684016,0.011930836562842745,0.00941542916625121,4,4414,,
24h,Sports,2024Q1,2,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.052066274263384296,0.06607525598643474,0.05443862673060646,7,8523,3.0,False
24h,Sports,2024Q2,5,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.052066274263384296,0.06607525598643474,0.05443862673060646,7,8523,3.0,False
24h,Sports,2024Q3,9,1.0,1.0,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.052066274263384296,0.06607525598643474,0.05443862673060646,7,8523,3.0,False
24h,Sports,2024Q4,37,0.8918918918918919,0.8378378378378378,0.8378378378378378,0.008108108108108136,0.06216216216216219,0.06216216216216219,0.052066274263384296,0.06607525598643474,0.05443862673060646,7,8523,3.0,False
24h,Sports,2025Q1,414,0.9347826086956522,0.9178743961352656,0.9130434782608696,0.034782608695652195,0.017874396135265536,0.013043478260869601,0.052066274263384296,0.06607525598643474,0.05443862673060646,7,8523,3.0,False
24h,Sports,2025Q2,1832,0.9017467248908296,0.8373362445414847,0.8962882096069869,0.0017467248908296096,0.06266375545851532,0.00371179039301317,0.052066274263384296,0.06607525598643474,0.05443862673060646,7,8523,3.0,False
24h,Sports,2025Q3,6224,0.9198264781491002,0.9198264781491002,0.9021529562982004,0.019826478149100213,0.019826478149100213,0.002152956298200337,0.052066274263384296,0.06607525598643474,0.05443862673060646,7,8523,3.0,False
