domain,tau,method,bin_idx,bin_lo,bin_hi,n,value,ci_lo,ci_hi,alpha,param_name
Entertainment,1w,platt,,,,1902,1.122881108184048,,,,a_slope_on_logit_p
Entertainment,1w,platt,,,,1902,-0.28068411002668653,,,,b_intercept
Entertainment,1w,conformal_mondrian,,,,1902,0.79,,,0.05,q_hat
Entertainment,1w,conformal_mondrian,,,,1902,0.67,,,0.1,q_hat
Entertainment,1w,conformal_mondrian,,,,1902,0.51,,,0.2,q_hat
Sports,1mo,binning10,0,0.05,0.07,49,0.04081632653061224,0.0049818418349712994,0.1397871870224638,,recal_prob
Sports,1mo,binning10,1,0.07,0.1,58,0.034482758620689655,0.004203647239867673,0.11907731088039213,,recal_prob
Sports,1mo,binning10,2,0.1,0.15,69,0.10144927536231885,0.04177087817693835,0.1979184823514123,,recal_prob
Sports,1mo,binning10,3,0.15,0.22,74,0.10810810810810811,0.04784399039492812,0.201950136231846,,recal_prob
Sports,1mo,binning10,4,0.22,0.3,59,0.15254237288135594,0.07220242793998194,0.26991959181236463,,recal_prob
Sports,1mo,binning10,5,0.3,0.42,60,0.4166666666666667,0.29068066647042273,0.551162202245988,,recal_prob
Sports,1mo,binning10,6,0.42,0.56,68,0.47058823529411764,0.34831196628863115,0.595508077633579,,recal_prob
Sports,1mo,binning10,7,0.56,0.7540000000000003,66,0.6666666666666666,0.5398613431497497,0.7779692372780055,,recal_prob
Sports,1mo,binning10,8,0.7540000000000003,0.87,56,0.9285714285714286,0.8270953018606302,0.9801960684911702,,recal_prob
Sports,1mo,binning10,9,0.87,0.95,70,0.9571428571428572,0.8798213946734135,0.991073095922341,,recal_prob
Sports,1mo,platt,,,,629,1.3016296195721777,,,,a_slope_on_logit_p
Sports,1mo,platt,,,,629,0.09713575570416956,,,,b_intercept
Sports,1mo,conformal_mondrian,,,,629,0.76,,,0.05,q_hat
Sports,1mo,conformal_mondrian,,,,629,0.62,,,0.1,q_hat
Sports,1mo,conformal_mondrian,,,,629,0.48,,,0.2,q_hat
Politics,1mo,binning10,0,0.05,0.07,63,0.031746031746031744,0.0038679824964188013,0.11001937340888032,,recal_prob
Politics,1mo,binning10,1,0.07,0.11400000000000006,78,0.0641025641025641,0.02113972041146138,0.1432875961068856,,recal_prob
Politics,1mo,binning10,2,0.11400000000000006,0.18,69,0.14492753623188406,0.07174913989206376,0.2504199467162967,,recal_prob
Politics,1mo,binning10,3,0.18,0.26,65,0.3230769230769231,0.21232760693939293,0.4505495670997733,,recal_prob
Politics,1mo,binning10,4,0.26,0.38,72,0.3194444444444444,0.21441793608731272,0.43985843652853385,,recal_prob
Politics,1mo,binning10,5,0.38,0.57,71,0.4788732394366197,0.3587791864655684,0.6007848322388705,,recal_prob
Politics,1mo,binning10,6,0.57,0.72,69,0.7101449275362319,0.5884248805417939,0.8131280501943902,,recal_prob
Politics,1mo,binning10,7,0.72,0.83,70,0.7857142857142857,0.6713148547210506,0.874816428507753,,recal_prob
Politics,1mo,binning10,8,0.83,0.89,66,0.9090909090909091,0.8125573488135268,0.9659028672287315,,recal_prob
Politics,1mo,binning10,9,0.89,0.95,80,0.975,0.9125928440694078,0.9969579138351904,,recal_prob
Politics,1mo,platt,,,,703,1.1198174507452878,,,,a_slope_on_logit_p
Politics,1mo,platt,,,,703,0.2065151692590187,,,,b_intercept
Politics,1mo,conformal_mondrian,,,,703,0.8,,,0.05,q_hat
Politics,1mo,conformal_mondrian,,,,703,0.7,,,0.1,q_hat
Politics,1mo,conformal_mondrian,,,,703,0.48,,,0.2,q_hat
Finance,1mo,binning10,0,0.05,0.08,93,0.06451612903225806,0.024042287414252888,0.1351504163967773,,recal_prob
Finance,1mo,binning10,1,0.08,0.15,157,0.07006369426751592,0.03549229465312937,0.12190397413717524,,recal_prob
Finance,1mo,binning10,2,0.15,0.23,128,0.1171875,0.06709408188187789,0.1859089016919275,,recal_prob
Finance,1mo,binning10,3,0.23,0.34,128,0.2578125,0.18458273536401337,0.3425864177716734,,recal_prob
Finance,1mo,binning10,4,0.34,0.47,121,0.3884297520661157,0.3011894641398221,0.4812664876120281,,recal_prob
Finance,1mo,binning10,5,0.47,0.63,130,0.5384615384615384,0.4488993549492629,0.6262321883081182,,recal_prob
Finance,1mo,binning10,6,0.63,0.75,130,0.6615384615384615,0.5733696166831215,0.7421617493295288,,recal_prob
Finance,1mo,binning10,7,0.75,0.85,126,0.7698412698412699,0.6864636264645023,0.8401182832166332,,recal_prob
Finance,1mo,binning10,8,0.85,0.91,122,0.9016393442622951,0.8344866131622102,0.9481350070324889,,recal_prob
Finance,1mo,binning10,9,0.91,0.95,136,0.9852941176470589,0.947887976635312,0.9982140611867167,,recal_prob
Finance,1mo,platt,,,,1271,1.1368184721917876,,,,a_slope_on_logit_p
Finance,1mo,platt,,,,1271,-0.07145596067430011,,,,b_intercept
Finance,1mo,conformal_mondrian,,,,1271,0.77,,,0.05,q_hat
Finance,1mo,conformal_mondrian,,,,1271,0.68,,,0.1,q_hat
Finance,1mo,conformal_mondrian,,,,1271,0.5,,,0.2,q_hat
Weather,1mo,binning10,0,0.05,0.11,27,0.0,0.0,0.12770286761543234,,recal_prob
Weather,1mo,binning10,1,0.11,0.19,38,0.07894736842105263,0.016586475864529524,0.21377329118061816,,recal_prob
Weather,1mo,binning10,2,0.19,0.26400000000000023,34,0.29411764705882354,0.15098366442302852,0.47478106034048584,,recal_prob
Weather,1mo,binning10,3,0.26400000000000023,0.35200000000000015,33,0.36363636363636365,0.20400307445511998,0.5487546447826517,,recal_prob
Weather,1mo,binning10,4,0.35200000000000015,0.44,32,0.34375,0.18571909171656614,0.5319310362802687,,recal_prob
Weather,1mo,binning10,5,0.44,0.52,29,0.4482758620689655,0.2644553037067049,0.6430612891960847,,recal_prob
Weather,1mo,binning10,6,0.52,0.63,35,0.5428571428571428,0.3664580171214521,0.711728556209243,,recal_prob
Weather,1mo,binning10,7,0.63,0.7540000000000003,35,0.7142857142857143,0.5369553554455799,0.8536452547209407,,recal_prob
Weather,1mo,binning10,8,0.7540000000000003,0.85,29,0.8275862068965517,0.6422524455853559,0.9415439170273656,,recal_prob
Weather,1mo,binning10,9,0.85,0.95,37,0.8378378378378378,0.6798629241323288,0.9380742786666036,,recal_prob
Weather,1mo,platt,,,,329,1.0568019280812142,,,,a_slope_on_logit_p
Weather,1mo,platt,,,,329,-0.05811893125815555,,,,b_intercept
Weather,1mo,conformal_mondrian,,,,329,0.79,,,0.05,q_hat
Weather,1mo,conformal_mondrian,,,,329,0.6799999999999999,,,0.1,q_hat
Weather,1mo,conformal_mondrian,,,,329,0.56,,,0.2,q_hat
Entertainment,1mo,binning10,0,0.05,0.07,83,0.03614457831325301,0.007516820235196637,0.10201488233576192,,recal_prob
Entertainment,1mo,binning10,1,0.07,0.12,122,0.06557377049180328,0.02873293401630507,0.12512024197236887,,recal_prob
Entertainment,1mo,binning10,2,0.12,0.18,101,0.09900990099009901,0.04850875612040665,0.17455282607711903,,recal_prob
Entertainment,1mo,binning10,3,0.18,0.27,105,0.18095238095238095,0.11260504860360385,0.2680670299396932,,recal_prob
Entertainment,1mo,binning10,4,0.27,0.37,100,0.2,0.12665555210195586,0.2918426890886281,,recal_prob
Entertainment,1mo,binning10,5,0.37,0.53,102,0.37254901960784315,0.2788248443764132,0.4738809409784948,,recal_prob
Entertainment,1mo,binning10,6,0.53,0.65,103,0.4854368932038835,0.38575196930459527,0.5859808673069975,,recal_prob
Entertainment,1mo,binning10,7,0.65,0.7540000000000009,107,0.6635514018691588,0.5657619564129629,0.752028749019567,,recal_prob
Entertainment,1mo,binning10,8,0.7540000000000009,0.87,90,0.7333333333333333,0.629677612888233,0.8210810388642383,,recal_prob
Entertainment,1mo,binning10,9,0.87,0.95,116,0.9655172413793104,0.9140616899420437,0.9905261349068238,,recal_prob
Entertainment,1mo,platt,,,,1029,1.1169673439949064,,,,a_slope_on_logit_p
Entertainment,1mo,platt,,,,1029,-0.29068844544457806,,,,b_intercept
Entertainment,1mo,conformal_mondrian,,,,1029,0.79,,,0.05,q_hat
Entertainment,1mo,conformal_mondrian,,,,1029,0.69,,,0.1,q_hat
Entertainment,1mo,conformal_mondrian,,,,1029,0.52,,,0.2,q_hat
