variant,variant_label,method,domain,tau,fit_scope,metric,value,primary_value,delta_vs_primary,n_test,primary_n_test,n_quarters
bins5,"HistogramBinning(5), primary filters",binning5,Sports,1w,pooled,log_loss,0.4960410285967725,0.4809878821337483,0.015053146463024192,1697.0,1697.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Crypto,1w,pooled,log_loss,0.5495020510553305,0.5160020913197026,0.033499959735627804,89.0,89.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Politics,1w,pooled,log_loss,0.5406230754194551,0.5463258623511119,-0.0057027869316568225,699.0,699.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Finance,1w,pooled,log_loss,0.4128665349311809,0.40634233978027934,0.006524195150901579,660.0,660.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Weather,1w,pooled,log_loss,0.4674487101786558,0.4766218076015445,-0.009173097422888687,135.0,135.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Entertainment,1w,pooled,log_loss,0.47481605792624754,0.46585155445192417,0.008964503474323371,1134.0,1134.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,ALL,1w,pooled,log_loss,0.4854149833275735,0.4768572611965397,0.008557722131033785,4414.0,4414.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Sports,24h,per_domain,brier,0.20010523887931975,0.19703021121609482,0.0030750276632249274,8056.0,8056.0,2.0
bins5,"HistogramBinning(5), primary filters",binning5,Crypto,24h,per_domain,brier,0.21300072813832568,0.21233016925139203,0.0006705588869336532,1255.0,1255.0,3.0
bins5,"HistogramBinning(5), primary filters",binning5,Politics,24h,per_domain,brier,0.1804153804047943,0.18020867162256524,0.0002067087822290592,850.0,850.0,2.0
bins5,"HistogramBinning(5), primary filters",binning5,Finance,24h,per_domain,brier,0.14995092820066352,0.14326308111442515,0.006687847086238374,5042.0,5042.0,13.0
bins5,"HistogramBinning(5), primary filters",binning5,Weather,24h,per_domain,brier,0.1674690051652353,0.16605783433408103,0.0014111708311542737,19253.0,19253.0,14.0
bins5,"HistogramBinning(5), primary filters",binning5,Entertainment,24h,per_domain,brier,0.15358816200240447,0.15123346929857076,0.002354692703833705,2124.0,2124.0,6.0
bins5,"HistogramBinning(5), primary filters",binning5,ALL,24h,per_domain,brier,0.17329883499443963,0.17079253534854275,0.002506299645896881,36580.0,36580.0,14.0
bins5,"HistogramBinning(5), primary filters",binning5,Sports,24h,pooled,brier,0.1981625315210209,0.1934175716892497,0.0047449598317712005,8523.0,8523.0,7.0
bins5,"HistogramBinning(5), primary filters",binning5,Crypto,24h,pooled,brier,0.20590531247051244,0.1935705019518548,0.012334810518657646,1810.0,1810.0,7.0
bins5,"HistogramBinning(5), primary filters",binning5,Politics,24h,pooled,brier,0.17654276306154992,0.17205270520534185,0.004490057856208068,1181.0,1181.0,12.0
bins5,"HistogramBinning(5), primary filters",binning5,Finance,24h,pooled,brier,0.150147059341279,0.143101887557777,0.007045171783502002,5282.0,5282.0,14.0
bins5,"HistogramBinning(5), primary filters",binning5,Weather,24h,pooled,brier,0.16771993491434004,0.16648284390006104,0.0012370910142789904,19253.0,19253.0,14.0
bins5,"HistogramBinning(5), primary filters",binning5,Entertainment,24h,pooled,brier,0.16049236333574757,0.150379589865875,0.010112773469872577,2297.0,2297.0,12.0
bins5,"HistogramBinning(5), primary filters",binning5,ALL,24h,pooled,brier,0.17370689270926867,0.16973439468256946,0.003972498026699217,38346.0,38346.0,14.0
bins5,"HistogramBinning(5), primary filters",binning5,Sports,24h,per_domain,ece,0.03989567651244361,0.032369369695811084,0.007526306816632529,8056.0,8056.0,2.0
bins5,"HistogramBinning(5), primary filters",binning5,Crypto,24h,per_domain,ece,0.08469952664190002,0.09166339541153079,-0.006963868769630774,1255.0,1255.0,3.0
bins5,"HistogramBinning(5), primary filters",binning5,Politics,24h,per_domain,ece,0.05385858235424827,0.06732872355497445,-0.013470141200726177,850.0,850.0,2.0
bins5,"HistogramBinning(5), primary filters",binning5,Finance,24h,per_domain,ece,0.03939032552891248,0.049525661217858175,-0.010135335688945694,5042.0,5042.0,13.0
bins5,"HistogramBinning(5), primary filters",binning5,Weather,24h,per_domain,ece,0.022893595620640632,0.028259122505836218,-0.005365526885195586,19253.0,19253.0,14.0
bins5,"HistogramBinning(5), primary filters",binning5,Entertainment,24h,per_domain,ece,0.049679613413429795,0.062050468110091336,-0.012370854696661542,2124.0,2124.0,6.0
bins5,"HistogramBinning(5), primary filters",binning5,ALL,24h,per_domain,ece,0.027344983870367892,0.02718690414792961,0.00015807972243828128,36580.0,36580.0,14.0
bins5,"HistogramBinning(5), primary filters",binning5,Sports,24h,pooled,ece,0.03090680911867585,0.025189667085482446,0.005717142033193404,8507.0,8507.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Crypto,24h,pooled,ece,0.0837183726469756,0.07921721179236617,0.004501160854609429,1809.0,1809.0,6.0
bins5,"HistogramBinning(5), primary filters",binning5,Politics,24h,pooled,ece,0.047864037069935514,0.059668302688659636,-0.011804265618724122,1128.0,1128.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Finance,24h,pooled,ece,0.051778255250361276,0.04576491229599999,0.006013342954361282,5282.0,5282.0,14.0
bins5,"HistogramBinning(5), primary filters",binning5,Weather,24h,pooled,ece,0.026964213302885485,0.028399483469221186,-0.001435270166335701,19253.0,19253.0,14.0
bins5,"HistogramBinning(5), primary filters",binning5,Entertainment,24h,pooled,ece,0.05421956331776294,0.04828980393860398,0.005929759379158961,2278.0,2278.0,9.0
bins5,"HistogramBinning(5), primary filters",binning5,ALL,24h,pooled,ece,0.021032896222861384,0.02400371003095071,-0.002970813808089324,38346.0,38346.0,14.0
bins5,"HistogramBinning(5), primary filters",binning5,Sports,24h,per_domain,log_loss,0.5854425058882317,0.5823686799300497,0.0030738259581819527,8056.0,8056.0,2.0
bins5,"HistogramBinning(5), primary filters",binning5,Crypto,24h,per_domain,log_loss,0.6220806705852965,0.623023297642623,-0.0009426270573265061,1255.0,1255.0,3.0
bins5,"HistogramBinning(5), primary filters",binning5,Politics,24h,per_domain,log_loss,0.5353836666087269,0.5345568981773706,0.0008267684313563173,850.0,850.0,2.0
bins5,"HistogramBinning(5), primary filters",binning5,Finance,24h,per_domain,log_loss,0.47034289953193203,0.45542283389917615,0.014920065632755886,5042.0,5042.0,13.0
bins5,"HistogramBinning(5), primary filters",binning5,Weather,24h,per_domain,log_loss,0.5062022803412884,0.5025966412453713,0.003605639095917157,19253.0,19253.0,14.0
bins5,"HistogramBinning(5), primary filters",binning5,Entertainment,24h,per_domain,log_loss,0.48424614727705584,0.505051318376101,-0.020805171099045117,2124.0,2124.0,6.0
bins5,"HistogramBinning(5), primary filters",binning5,ALL,24h,per_domain,log_loss,0.522089458865633,0.5186794354881453,0.0034100233774876365,36580.0,36580.0,14.0
