tau,domain,fit_scope,method,metric,value,raw_value,delta_vs_raw,n_test,n_quarters
1mo,Crypto,pooled,raw,brier,0.1559333333333333,0.1559333333333333,0.0,21.0,2.0
1mo,Crypto,pooled,platt,brier,0.1751174097055324,0.1559333333333333,0.0191840763721991,21.0,2.0
1mo,Crypto,pooled,isotonic,brier,0.17570661054125775,0.1559333333333333,0.019773277207924433,21.0,2.0
1mo,Crypto,pooled,binning10,brier,0.18957572445256105,0.1559333333333333,0.03364239111922773,21.0,2.0
1mo,Crypto,pooled,venn_abers,brier,0.17599198793520218,0.1559333333333333,0.02005865460186887,21.0,2.0
1mo,Crypto,pooled,raw,log_loss,0.46359284943122747,0.46359284943122747,0.0,21.0,2.0
1mo,Crypto,pooled,platt,log_loss,0.505476450970417,0.46359284943122747,0.041883601539189574,21.0,2.0
1mo,Crypto,pooled,isotonic,log_loss,0.4969616224007665,0.46359284943122747,0.03336877296953905,21.0,2.0
1mo,Crypto,pooled,binning10,log_loss,0.5366014828989162,0.46359284943122747,0.07300863346768871,21.0,2.0
1mo,Crypto,pooled,venn_abers,log_loss,0.5011731283459872,0.46359284943122747,0.03758027891475968,21.0,2.0
1mo,Entertainment,pooled,raw,brier,0.15666455223880593,0.15666455223880593,0.0,268.0,2.0
1mo,Entertainment,pooled,platt,brier,0.1570950186906477,0.15666455223880593,0.0004304664518417767,268.0,2.0
1mo,Entertainment,pooled,isotonic,brier,0.15849003785451388,0.15666455223880593,0.0018254856157079447,268.0,2.0
1mo,Entertainment,pooled,binning10,brier,0.16071981394774654,0.15666455223880593,0.004055261708940605,268.0,2.0
1mo,Entertainment,pooled,venn_abers,brier,0.15800654707658043,0.15666455223880593,0.0013419948377745017,268.0,2.0
1mo,Entertainment,pooled,raw,ece,0.06906716417910441,0.06906716417910441,0.0,268.0,2.0
1mo,Entertainment,pooled,platt,ece,0.07275618175204557,0.06906716417910441,0.0036890175729411556,268.0,2.0
1mo,Entertainment,pooled,isotonic,ece,0.08176286142030342,0.06906716417910441,0.012695697241199011,268.0,2.0
1mo,Entertainment,pooled,binning10,ece,0.0749373403328187,0.06906716417910441,0.005870176153714282,268.0,2.0
1mo,Entertainment,pooled,venn_abers,ece,0.07502234336826191,0.06906716417910441,0.0059551791891575,268.0,2.0
1mo,Entertainment,pooled,raw,log_loss,0.4842150829986027,0.4842150829986027,0.0,268.0,2.0
1mo,Entertainment,pooled,platt,log_loss,0.48965908422413823,0.4842150829986027,0.005444001225535511,268.0,2.0
1mo,Entertainment,pooled,isotonic,log_loss,0.5359275229194717,0.4842150829986027,0.051712439920868936,268.0,2.0
1mo,Entertainment,pooled,binning10,log_loss,0.5022117928009268,0.4842150829986027,0.01799670980232404,268.0,2.0
1mo,Entertainment,pooled,venn_abers,log_loss,0.49327766728697475,0.4842150829986027,0.009062584288372033,268.0,2.0
1mo,Finance,pooled,raw,brier,0.11059002932551315,0.11059002932551315,0.0,341.0,2.0
1mo,Finance,pooled,platt,brier,0.10763117909078715,0.11059002932551315,-0.0029588502347260015,341.0,2.0
