method,fit_scope,domain,tau,alpha,metric,value,n_test
Conformal-marginal,pooled,Crypto,24h,0.1,avg_set_size,1.3870673952641166,2196
Conformal-marginal,pooled,Politics,24h,0.1,coverage,0.9234167893961709,2037
Conformal-marginal,pooled,Politics,24h,0.1,avg_set_size,1.4742268041237114,2037
Conformal-marginal,pooled,Finance,24h,0.1,coverage,0.8921907394609537,2894
Conformal-marginal,pooled,Finance,24h,0.1,avg_set_size,1.2166551485832757,2894
Conformal-marginal,pooled,Weather,24h,0.1,coverage,0.9276845859199577,15142
Conformal-marginal,pooled,Weather,24h,0.1,avg_set_size,1.4216087703077533,15142
Conformal-marginal,pooled,Entertainment,24h,0.1,coverage,0.9045075125208681,2995
Conformal-marginal,pooled,Entertainment,24h,0.1,avg_set_size,1.2934891485809683,2995
Conformal-marginal,pooled,ALL,24h,0.05,coverage,0.9663362043479118,50737
Conformal-marginal,pooled,ALL,24h,0.05,avg_set_size,1.675759307802984,50737
Conformal-marginal,pooled,Sports,24h,0.05,coverage,0.9751894162446512,25473
Conformal-marginal,pooled,Sports,24h,0.05,avg_set_size,1.7759588583990893,25473
Conformal-marginal,pooled,Crypto,24h,0.05,coverage,0.9271402550091075,2196
Conformal-marginal,pooled,Crypto,24h,0.05,avg_set_size,1.5897085610200363,2196
Conformal-marginal,pooled,Politics,24h,0.05,coverage,0.9729995090819833,2037
Conformal-marginal,pooled,Politics,24h,0.05,avg_set_size,1.6705940108001964,2037
Conformal-marginal,pooled,Finance,24h,0.05,coverage,0.9308914996544575,2894
Conformal-marginal,pooled,Finance,24h,0.05,avg_set_size,1.3849343469246718,2894
Conformal-marginal,pooled,Weather,24h,0.05,coverage,0.9673094703473781,15142
Conformal-marginal,pooled,Weather,24h,0.05,avg_set_size,1.6139875842028795,15142
Conformal-marginal,pooled,Entertainment,24h,0.05,coverage,0.9445742904841402,2995
Conformal-marginal,pooled,Entertainment,24h,0.05,avg_set_size,1.4834724540901503,2995
Conformal-marginal,pooled,ALL,24h,0.2,coverage,0.8074974870410154,50737
Conformal-marginal,pooled,ALL,24h,0.2,avg_set_size,1.1700139937323846,50737
Conformal-marginal,pooled,Sports,24h,0.2,coverage,0.7971577748989126,25473
Conformal-marginal,pooled,Sports,24h,0.2,avg_set_size,1.227731323361991,25473
Conformal-marginal,pooled,Crypto,24h,0.2,coverage,0.7900728597449909,2196
Conformal-marginal,pooled,Crypto,24h,0.2,avg_set_size,1.1539162112932604,2196
Conformal-marginal,pooled,Politics,24h,0.2,coverage,0.7771232204221895,2037
Conformal-marginal,pooled,Politics,24h,0.2,avg_set_size,1.1266568483063328,2037
Conformal-marginal,pooled,Finance,24h,0.2,coverage,0.8320663441603318,2894
Conformal-marginal,pooled,Finance,24h,0.2,avg_set_size,1.058742225293711,2894
Conformal-marginal,pooled,Weather,24h,0.2,coverage,0.8227446836613393,15142
Conformal-marginal,pooled,Weather,24h,0.2,avg_set_size,1.121384229295998,15142
Conformal-marginal,pooled,Entertainment,24h,0.2,coverage,0.8280467445742905,2995
Conformal-marginal,pooled,Entertainment,24h,0.2,avg_set_size,1.0737896494156929,2995
Conformal-mondrian,pooled,ALL,24h,NA,brier,0.17780509490115695,50737
