domain,time_bin,size_bin,n_ours,slope_ours,slope_le,delta
Finance,0-1h,Large,162082,0.9488507771687773,0.9488507771687772,1.1102230246251565e-16
Finance,1-3h,Single,52898,1.0992738343579729,1.0992738343579729,0.0
Finance,1-3h,Small,145271,1.0424934240133668,1.0424934240133668,0.0
Finance,1-3h,Medium,274405,1.0632111951846712,1.0632111951846712,0.0
Finance,1-3h,Large,140502,1.069276867902393,1.069276867902393,0.0
Finance,3-6h,Single,68911,0.9958455618395536,0.9958455618395538,-1.1102230246251565e-16
Finance,3-6h,Small,173546,1.0118105969666003,1.0118105969666005,-2.220446049250313e-16
Finance,3-6h,Medium,355026,1.0136927900128219,1.013692790012822,-2.220446049250313e-16
Finance,3-6h,Large,217996,1.0277280956401256,1.0277280956401251,4.440892098500626e-16
Finance,6-12h,Single,25687,1.001377721043265,1.001377721043265,0.0
Finance,6-12h,Small,66886,1.0125338204404672,1.0125338204404672,0.0
Finance,6-12h,Medium,130856,0.9921871937589147,0.9921871937589148,-1.1102230246251565e-16
Finance,6-12h,Large,77891,0.9622126074365192,0.9622126074365192,0.0
Finance,12-24h,Single,9365,1.0697197746886937,1.0697197746886935,2.220446049250313e-16
Finance,12-24h,Small,34464,0.9622535898172822,0.9622535898172824,-2.220446049250313e-16
Finance,12-24h,Medium,54716,0.9685918579145305,0.9685918579145306,-1.1102230246251565e-16
Finance,12-24h,Large,29671,0.9865398699403907,0.986539869940391,-3.3306690738754696e-16
Finance,24-48h,Single,5163,0.8264725556912565,0.8264725556912565,0.0
Finance,24-48h,Small,15653,0.9602305747535497,0.9602305747535496,1.1102230246251565e-16
Finance,24-48h,Medium,27491,0.9357657839067318,0.9357657839067316,2.220446049250313e-16
Finance,24-48h,Large,15937,0.802589568893195,0.8025895688931951,-1.1102230246251565e-16
Finance,2d-1w,Single,20269,1.2749422693959396,1.2749422693959396,0.0
Finance,2d-1w,Small,50897,1.0577341279051666,1.0577341279051666,0.0
Finance,2d-1w,Medium,91876,1.0873400096440267,1.0873400096440269,-2.220446049250313e-16
Finance,2d-1w,Large,57463,1.0626169323748806,1.0626169323748809,-2.220446049250313e-16
Finance,1w-1mo,Single,30426,1.4992435514848557,1.4992435514848557,0.0
Finance,1w-1mo,Small,98334,1.3818488864467835,1.3818488864467835,0.0
Finance,1w-1mo,Medium,148820,1.310235300207714,1.3102353002077145,-4.440892098500626e-16
Finance,1w-1mo,Large,76635,1.4348535153082085,1.4348535153082085,0.0
Finance,1mo+,Single,22022,1.015493668255934,1.0154936682559337,2.220446049250313e-16
Finance,1mo+,Small,69117,1.296864673092257,1.296864673092257,0.0
Finance,1mo+,Medium,90300,1.2251990867745894,1.2251990867745894,0.0
Finance,1mo+,Large,58846,1.1942688661703056,1.1942688661703056,0.0
Politics,0-1h,Single,1536,0.8388773589303594,0.8388773589303594,0.0
Politics,0-1h,Small,6592,0.9298792137802179,0.929879213780218,-1.1102230246251565e-16
Politics,0-1h,Medium,10806,1.0174019673181232,1.0174019673181232,0.0
Politics,0-1h,Large,5627,1.398885007453532,1.398885007453532,0.0
Politics,1-3h,Single,7350,0.8253801684848876,0.8253801684848875,1.1102230246251565e-16
Politics,1-3h,Small,32107,0.912108985396137,0.9121089853961368,2.220446049250313e-16
