tau,domain,n_test,n_quarters,cov_marginal_a0.1,cov_mondrian_a0.1,gap_cov_a0.1,abs_dev_marginal_a0.1,abs_dev_mondrian_a0.1,size_marginal_a0.1,size_mondrian_a0.1,cov_marginal_a0.05,cov_marginal_a0.2,cov_mondrian_a0.05,cov_mondrian_a0.2,size_marginal_a0.05,size_marginal_a0.2,size_mondrian_a0.05,size_mondrian_a0.2
1w,Finance,660.0,4.0,0.8984848484848484,0.9090909090909091,0.010606060606060619,0.0015151515151515804,0.009090909090909038,1.2196969696969697,1.2484848484848485,0.956060606060606,0.8166666666666667,0.9666666666666667,0.8257575757575758,1.406060606060606,1.0212121212121212,1.4454545454545455,1.034848484848485
1w,Weather,135.0,4.0,0.8740740740740741,0.8962962962962963,0.022222222222222143,0.025925925925925908,0.0037037037037037646,1.2444444444444445,1.325925925925926,0.9407407407407408,0.7851851851851852,0.9555555555555556,0.8074074074074075,1.4592592592592593,1.0148148148148148,1.5703703703703704,1.0592592592592593
1w,Entertainment,1134.0,4.0,0.9012345679012346,0.8880070546737213,-0.013227513227513255,0.0012345679012345512,0.011992945326278703,1.2989417989417988,1.247795414462081,0.9541446208112875,0.7883597883597884,0.9417989417989417,0.7804232804232805,1.4805996472663139,1.0246913580246915,1.437389770723104,1.0070546737213404
1w,ALL,4414.0,4.0,0.902582691436339,0.9014499320344359,-0.0011327594019030496,0.0025826914363389353,0.0014499320344358857,1.329859537834164,1.3092433167195288,0.9569551427276847,0.790666062528319,0.9512913457181694,0.7693701857725419,1.5228817399184413,1.0441776166742185,1.517897598550068,1.0033982782057091
24h,Sports,8523.0,7.0,0.9068403144432711,0.9017951425554382,-0.005045171887832822,0.006840314443271045,0.0017951425554382228,1.4993546873166725,1.4839845124956004,0.970080957409363,0.7686260706324064,0.9552974304822246,0.7683914114748328,1.743869529508389,1.1418514607532562,1.6768743400211192,1.1458406664320075
24h,Crypto,1810.0,7.0,0.869060773480663,0.8895027624309392,0.020441988950276158,0.030939226519337004,0.010497237569060847,1.3574585635359115,1.4414364640883979,0.9259668508287293,0.7729281767955801,0.9591160220994475,0.7690607734806629,1.5773480662983426,1.1033149171270717,1.7386740331491712,1.0950276243093922
24h,Politics,1181.0,12.0,0.9026248941574937,0.9297205757832345,0.02709568162574083,0.0026248941574936735,0.029720575783234504,1.3751058425063505,1.4707874682472482,0.9652836579170194,0.77307366638442,0.9813717188823031,0.8044030482641829,1.6274343776460627,1.0533446232006773,1.7222692633361558,1.1253175275190517
24h,Finance,5282.0,14.0,0.8807269973494888,0.9043922756531617,0.023665278303672932,0.01927300265051124,0.0043922756531616924,1.174176448315032,1.2654297614539947,0.9261643316925408,0.8324498296099963,0.9519121544869368,0.7926921620598258,1.3752366527830366,1.0391897008708821,1.5382430897387354,0.9625141991669822
24h,Weather,19253.0,14.0,0.9186620266971381,0.9104035734690697,-0.008258453228068396,0.018662026697138123,0.010403573469069727,1.41411728042383,1.3859138835506155,0.9641614293876279,0.8021607022282242,0.9545005973095102,0.8136394328156651,1.6267594660572378,1.0920895444865735,1.5747675686905938,1.1187866825949202
24h,Entertainment,2297.0,12.0,0.8929037875489769,0.8959512407488028,0.0030474531998259113,0.007096212451023098,0.004048759251197187,1.2398781018720069,1.2638223770134958,0.9403569873748368,0.8167174575533305,0.9464518937744885,0.7866782760121898,1.4296909011754462,1.0448410970831519,1.4814976055724858,0.9886808881149325
